模型,机型,任务名称,数据集编号,任务类型,step推理数量,关节 MSE（gripper正常）,ALL MSE（gripper正常）
GR00T N1.6/checkpoint-1,青龙,圆珠笔放入笔筒,69e47d6e377a4953960d9c90a90b704d,,3000,0.179468894,0.201477313
GR00T N1.6/checkpoint-390000,青龙,圆珠笔放入笔筒,69e47d6e377a4953960d9c90a90b704d,,3000,0.000247784,0.003823198
GR00T N1.6/checkpoint-1,青龙,水果蔬菜分类筐,9440958e5b604b24be9008daec947348,,3000,0.1834095,0.207566613
GR00T N1.6/checkpoint-390000,青龙,水果蔬菜分类筐,9440958e5b604b24be9008daec947348,,3000,0.000526573,0.005064389
GR00T N1.6/checkpoint-1,青龙,把垃圾丢到垃圾罐中,79b05db8ac8f4ebebde2c2534e273b39,双臂,3000,0.132496631,0.160485491
GR00T N1.6/checkpoint-390000,青龙,把垃圾丢到垃圾罐中,79b05db8ac8f4ebebde2c2534e273b39,双臂,3000,0.000339219,0.00066917
GR00T N1.6/checkpoint-1,青龙,用盖子盖住锅,5623ecb56a594c799084543f9134c3ba,,3000,0.180344644,0.202732918
GR00T N1.6/checkpoint-390000,青龙,用盖子盖住锅,5623ecb56a594c799084543f9134c3ba,,3000,0.000200211,0.002103355
GR00T N1.6/checkpoint-1,青龙,鸡蛋放置,6df85a4d00b249169f5ab91443a084d2,双臂,3000,0.133400112,0.16269595
GR00T N1.6/checkpoint-390000,青龙,鸡蛋放置,6df85a4d00b249169f5ab91443a084d2,双臂,3000,0.001387851,0.001900594
GR00T N1.6/checkpoint-1,青龙,食品打包,6e779b63d6a946c1ae9b89e77d441834,双臂,3000,0.133672354,0.148295182
GR00T N1.6/checkpoint-390000,青龙,食品打包,6e779b63d6a946c1ae9b89e77d441834,双臂,3000,0.000731734,0.002839219
GR00T N1.6/checkpoint-1,智元A2,茄子香蕉分类_桌面背景泛化_黄格子,d69be408d6514322a4e8f8bf1937afc6,双臂,6000,0.132409048,0.222947398
GR00T N1.6/checkpoint-390000,智元A2,茄子香蕉分类_桌面背景泛化_黄格子,d69be408d6514322a4e8f8bf1937afc6,双臂,6000,0.000712754,0.006068325
GR00T N1.6/checkpoint-1,智元A2,黑白胶带分类_桌面背景泛化_小鱼方巾,bf436fb9d6fd4319ad4eef98c351188d,双臂,6000,0.133624303,0.227667031
GR00T N1.6/checkpoint-390000,智元A2,黑白胶带分类_桌面背景泛化_小鱼方巾,bf436fb9d6fd4319ad4eef98c351188d,双臂,6000,0.001355696,0.011404835
